Data;Taxa de câmbio - R$ / US$ - comercial - venda - fim período - R$ - Banco Central do Brasil, Boletim, Seção Balanço de Pagamentos (Bacen / Boletim / BP) - BM12_ERVF12;
1968.07;1,17090909090909E-12;
1968.08;1,32727272727273E-12;
1968.09;1,34545454545455E-12;
1968.10;1,34545454545455E-12;
1968.11;1,37090909090909E-12;
1968.12;1,39272727272727E-12;
1969.01;1,39272727272727E-12;
1969.02;1,42909090909091E-12;
1969.03;1,45454545454545E-12;
1969.04;1,45454545454545E-12;
1969.05;1,47272727272727E-12;
1969.06;1,47272727272727E-12;
1969.07;1,49090909090909E-12;
1969.08;1,50909090909091E-12;
1969.09;1,50909090909091E-12;
1969.10;1,53090909090909E-12;
1969.11;1,56E-12;
1969.12;1,58181818181818E-12;
1970.01;1,58181818181818E-12;
1970.02;1,60363636363636E-12;
1970.03;1,63272727272727E-12;
1970.04;1,63272727272727E-12;
1970.05;1,65818181818182E-12;
1970.06;1,65818181818182E-12;
1970.07;1,69090909090909E-12;
1970.08;1,69090909090909E-12;
1970.09;1,71636363636364E-12;
1970.10;1,71636363636364E-12;
1970.11;1,76727272727273E-12;
1970.12;1,8E-12;
1971.01;1,8E-12;
1971.02;1,82909090909091E-12;
1971.03;1,85818181818182E-12;
1971.04;1,85818181818182E-12;
1971.05;1,88909090909091E-12;
1971.06;1,92181818181818E-12;
1971.07;1,92181818181818E-12;
1971.08;1,96545454545455E-12;
1971.09;2,00181818181818E-12;
1971.10;2,00181818181818E-12;
1971.11;2,04909090909091E-12;
1971.12;2,04909090909091E-12;
1972.01;2,10363636363636E-12;
1972.02;2,10363636363636E-12;
1972.03;2,12545454545455E-12;
1972.04;2,12545454545455E-12;
1972.05;2,15090909090909E-12;
1972.06;2,15090909090909E-12;
1972.07;2,16909090909091E-12;
1972.08;2,16909090909091E-12;
1972.09;2,19090909090909E-12;
1972.10;2,21636363636364E-12;
1972.11;2,24181818181818E-12;
1972.12;2,26E-12;
1973.01;2,26E-12;
1973.02;2,19272727272727E-12;
1973.03;2,19272727272727E-12;
1973.04;2,21818181818182E-12;
1973.05;2,21818181818182E-12;
1973.06;2,21818181818182E-12;
1973.07;2,22909090909091E-12;
1973.08;2,22909090909091E-12;
1973.09;2,24E-12;
1973.10;2,24E-12;
1973.11;2,24E-12;
1973.12;2,26181818181818E-12;
1974.01;2,26181818181818E-12;
1974.02;2,34727272727273E-12;
1974.03;2,34727272727273E-12;
1974.04;2,30545454545455E-12;
1974.05;2,30545454545455E-12;
1974.06;2,47818181818182E-12;
1974.07;2,50363636363636E-12;
1974.08;2,55272727272727E-12;
1974.09;2,59272727272727E-12;
1974.10;2,62545454545455E-12;
1974.11;2,66363636363636E-12;
1974.12;2,70363636363636E-12;
1975.01;2,74545454545455E-12;
1975.02;2,77090909090909E-12;
1975.03;2,81272727272727E-12;
1975.04;2,85272727272727E-12;
1975.05;2,9E-12;
1975.06;2,93454545454545E-12;
1975.07;2,95636363636364E-12;
1975.08;3,04E-12;
1975.09;3,09818181818182E-12;
1975.10;3,15272727272727E-12;
1975.11;3,23636363636364E-12;
1975.12;3,29818181818182E-12;
1976.01;3,36181818181818E-12;
1976.02;3,42545454545455E-12;
1976.03;3,61272727272727E-12;
1976.04;3,76909090909091E-12;
1976.05;3,83636363636364E-12;
1976.06;3,92727272727273E-12;
1976.07;3,98363636363636E-12;
1976.08;4,06181818181818E-12;
1976.09;4,13454545454545E-12;
1976.10;4,30181818181818E-12;
1976.11;4,38363636363636E-12;
1976.12;4,48909090909091E-12;
1977.01;4,57818181818182E-12;
1977.02;4,68E-12;
1977.03;4,74545454545455E-12;
1977.04;4,86E-12;
1977.05;5,09090909090909E-12;
1977.06;5,21818181818182E-12;
1977.07;5,29454545454545E-12;
1977.08;5,38545454545455E-12;
1977.09;5,46181818181818E-12;
1977.10;5,55454545454545E-12;
1977.11;5,64909090909091E-12;
1977.12;5,83636363636364E-12;
1978.01;5,90909090909091E-12;
1978.02;5,99818181818182E-12;
1978.03;6,16181818181818E-12;
1978.04;6,27818181818182E-12;
1978.05;6,43636363636364E-12;
1978.06;6,55636363636364E-12;
1978.07;6,69454545454545E-12;
1978.08;6,85454545454545E-12;
1978.09;7E-12;
1978.10;7,14181818181818E-12;
1978.11;7,29090909090909E-12;
1978.12;7,60727272727273E-12;
1979.01;7,92363636363636E-12;
1979.02;8,09090909090909E-12;
1979.03;8,41090909090909E-12;
1979.04;8,65090909090909E-12;
1979.05;9,32909090909091E-12;
1979.06;9,32909090909091E-12;
1979.07;9,49636363636364E-12;
